groupi	groupj	w
terminase39	terminase8	10
terminase39	terminase9	9
terminase4	tectviridae	1
terminase4	terminase1	2
terminase4	terminase10	2
terminase4	terminase11	2
terminase4	terminase12	1
terminase4	terminase13	4
terminase4	terminase14	17
terminase4	terminase15	23
terminase4	terminase16	2
terminase4	terminase17	1
terminase4	terminase18	2
terminase4	terminase2	8
terminase4	terminase22	3
terminase4	terminase23	4
terminase4	terminase24	5
terminase4	terminase25	4
terminase4	terminase26	1
terminase4	terminase28	1
terminase4	terminase29	1
terminase4	terminase3	6
terminase4	terminase31	3
terminase4	terminase32	1
terminase4	terminase33	1
terminase4	terminase34	1
terminase4	terminase38	4
terminase4	terminase39	2
terminase4	terminase44	2
terminase4	terminase5	5
terminase4	terminase6	5
terminase4	terminase7	4
terminase4	terminase8	2
terminase4	terminase9	3
terminase44	tectviridae	1
terminase44	terminase1	11
terminase44	terminase10	1
terminase44	terminase11	6
terminase44	terminase12	2
terminase44	terminase13	45
terminase44	terminase14	8
terminase44	terminase15	4
terminase44	terminase16	11
terminase44	terminase17	1
terminase44	terminase18	34
terminase44	terminase2	6
terminase44	terminase22	11
terminase44	terminase23	3
terminase44	terminase24	13
terminase44	terminase25	10
terminase44	terminase26	1
terminase44	terminase28	3
terminase44	terminase29	2
terminase44	terminase3	14
terminase44	terminase31	6
terminase44	terminase32	2
terminase44	terminase33	5
terminase44	terminase34	2
terminase44	terminase38	3
terminase44	terminase39	7
terminase44	terminase4	2
terminase44	terminase5	35
terminase44	terminase6	8
terminase44	terminase7	10
terminase44	terminase8	19
terminase44	terminase9	39
terminase5	tectviridae	1
terminase5	terminase1	36
terminase5	terminase10	2
terminase5	terminase11	9
terminase5	terminase12	2
terminase5	terminase13	115
terminase5	terminase14	26
terminase5	terminase15	7
terminase5	terminase16	86
terminase5	terminase17	1
terminase5	terminase18	78
terminase5	terminase2	15
terminase5	terminase22	86
terminase5	terminase23	6
terminase5	terminase24	108
terminase5	terminase25	102
terminase5	terminase26	4
terminase5	terminase28	10
terminase5	terminase29	4
terminase5	terminase3	61
terminase5	terminase31	8
terminase5	terminase32	5
terminase5	terminase33	4
terminase5	terminase34	10
terminase5	terminase38	4
terminase5	terminase39	11
terminase5	terminase4	5
terminase5	terminase44	35
terminase5	terminase6	55
terminase5	terminase7	52
terminase5	terminase8	167
terminase5	terminase9	106
terminase6	tectviridae	1
terminase6	terminase1	23
terminase6	terminase10	1
terminase6	terminase11	5
terminase6	terminase12	1
terminase6	terminase13	67
terminase6	terminase14	13
terminase6	terminase15	4
terminase6	terminase16	29
terminase6	terminase17	1
terminase6	terminase18	14
terminase6	terminase2	7
terminase6	terminase22	18
terminase6	terminase23	4
terminase6	terminase24	28
terminase6	terminase25	22
terminase6	terminase26	3
terminase6	terminase28	5
terminase6	terminase29	2
terminase6	terminase3	38
terminase6	terminase31	8
terminase6	terminase32	1
terminase6	terminase33	3
terminase6	terminase34	3
terminase6	terminase38	4
terminase6	terminase39	8
terminase6	terminase4	5
terminase6	terminase44	8
terminase6	terminase5	55
terminase6	terminase7	43
terminase6	terminase8	29
terminase6	terminase9	19
terminase7	tectviridae	1
terminase7	terminase1	26
terminase7	terminase10	1
terminase7	terminase11	8
terminase7	terminase12	1
terminase7	terminase13	34
terminase7	terminase14	30
terminase7	terminase15	6
terminase7	terminase16	27
terminase7	terminase17	1
terminase7	terminase18	12
terminase7	terminase2	8
terminase7	terminase22	31
terminase7	terminase23	2
terminase7	terminase24	31
terminase7	terminase25	26
terminase7	terminase26	1
terminase7	terminase28	8
terminase7	terminase29	3
terminase7	terminase3	50
terminase7	terminase31	4
terminase7	terminase32	3
terminase7	terminase33	2
terminase7	terminase34	5
terminase7	terminase38	3
terminase7	terminase39	5
terminase7	terminase4	4
terminase7	terminase44	10
terminase7	terminase5	52
terminase7	terminase6	43
terminase7	terminase8	44
terminase7	terminase9	21
terminase8	tectviridae	1
terminase8	terminase1	53
terminase8	terminase10	2
terminase8	terminase11	7
terminase8	terminase12	2
terminase8	terminase13	47
terminase8	terminase14	25
terminase8	terminase15	4
terminase8	terminase16	67
terminase8	terminase17	1
terminase8	terminase18	30
terminase8	terminase2	5
terminase8	terminase22	96
terminase8	terminase23	5
terminase8	terminase24	43
terminase8	terminase25	48
terminase8	terminase26	3
terminase8	terminase28	10
terminase8	terminase29	3
terminase8	terminase3	55
terminase8	terminase31	5
terminase8	terminase32	2
terminase8	terminase33	4
terminase8	terminase34	8
terminase8	terminase38	3
terminase8	terminase39	10
terminase8	terminase4	2
terminase8	terminase44	19
terminase8	terminase5	167
terminase8	terminase6	29
terminase8	terminase7	44
terminase8	terminase9	39
terminase9	tectviridae	1
terminase9	terminase1	20
terminase9	terminase10	1
terminase9	terminase11	5
terminase9	terminase12	1
terminase9	terminase13	120
terminase9	terminase14	16
terminase9	terminase15	5
terminase9	terminase16	34
terminase9	terminase17	2
terminase9	terminase18	95
terminase9	terminase2	9
terminase9	terminase22	29
terminase9	terminase23	3
terminase9	terminase24	38
terminase9	terminase25	32
terminase9	terminase26	2
terminase9	terminase28	4
terminase9	terminase29	4
terminase9	terminase3	22
terminase9	terminase31	6
terminase9	terminase32	2
terminase9	terminase33	3
terminase9	terminase34	6
terminase9	terminase38	3
terminase9	terminase39	9
terminase9	terminase4	3
terminase9	terminase44	39
terminase9	terminase5	106
terminase9	terminase6	19
terminase9	terminase7	21
terminase9	terminase8	39
